Word,Count
/,54
the,47
code,46
------------------------------------------------------------------------------,46
is,33
and,30
a,30
to,29
This,28
this,26
by,25
will,25
be,24
</auto-generated>,23
Runtime,23
incorrect,23
tool,23
if,23
file,23
lost,23
behavior,23
Changes,23
cause,23
<auto-generated>,23
Version:4.0.30319.42000,23
may,23
generated,23
regenerated,23
was,23
view,13
</summary>,9
<summary>,9
<param,7
<typeparam,7
in,6
Handle,6
app,6
when,6
register,6
your,6
of,5
<returns></returns>,4
\"\CallerLineNumber"\\,4
class,4
as,4
services,4
using,4
registered,4
pass,4
vm,4
\name="\TView"\></typeparam>\,4
Resolve,3
type,3
{,3
from,3
//,3
views,3
get;,3
dependencies,3
public,3
types,3
needed,3
},3
set;,3
without,2
sleeps,2
\"\Drink.cs"\\,2
other,2
every,2
MSBuild,2
project,2
resource,2
either,2
where,2
starts,2
its,2
\"\CallerMemberName"\,\,2
viewmodel,2
\"\Bottle.cs"\\,2
key,2
point,2
saves,2
method,2
automatically,2
are,2
them,2
call,2
displayed,2
resumes,2
1,2
parameters,2
add,2
Generated,2
dictionary,2
WriteCodeFragment,2
The,2
=,2
private,2
relationship,2
creates,2
or,2
PCL,2
into,2
Entry,2
while,1
ObservableCollection<BluetoothDevice>,1
inject,1
\[PrimaryKey,\,1
\<TView,\,1
helps,1
directly,1
created,1
place,1
workspace,1
IOC,1
\name="\partialResource"\>The\,1
BluetoothDevices.Add(new,1
unique,1
lazily,1
\cref="\IPageRegistrar"\/>/>\,1
Dictionary,1
means,1
container,1
Only,1
<inheritdoc,1
any,1
\name="\name"\>The\,1
drink.</param>,1
message,1
It,1
\name="\lineNumber"\></param>\,1
BluetoothDevices,1
\"\DummyMac"\));\,1
ObservableCollection<BluetoothDevice>();,1
byte[],1
resolving,1
new,1
Im,1
AutoIncrement],1
\"\SmartButler.Resources"\</param>\,1
they,1
which,1
that,1
model,1
instantiation,1
because,1
ImageData,1
not,1
\name="\resolvingType"\>The\,1
Add,1
Keep,1
int,1
containerContext,1
care,1
\name="\filePath"\></param>\,1
/This,1
can,1
&,1
resources,1
partial,1
throwing,1
\name="\callerName"\></param>\,1
/Registers,1
Then,1
custom,1
parameter,1
\name="\parameters"\></param>\,1
ViewModel)</param>,1
singleton,1
being,1
bottle,1
name,1
autofac,1
\name="\T"\></typeparam>\,1
\name="\TException"\></typeparam>\,1
static,1
here,1
more,1
Pattern,1
bindingcontext,1
\cref="\ILiquidContainerFactory"\/>\,1
component,1
u,1
/<inheritdoc,1
between,1
TViewModel>,1
exceptions,1
application.MainPage,1
models,1
platforms,1
for,1
\"\parameters"\\,1
(most,1
\name="\TViewModel"\></typeparam>\,1
set,1
\BluetoothDevice("\DummyName"\,\,1
Id,1
time,1
pages,1
allowed,1
first,1
ViewFirst-MVVM,1
ViewModels,1
,1
